iter	MultiClass
0	2.392167059
1	2.063893145
2	1.828138154
3	1.632277412
4	1.487564522
5	1.364086667
6	1.259395604
7	1.162207743
8	1.069845556
9	0.991282243
10	0.9142655742
11	0.8599366606
12	0.8004767815
13	0.7522494309
14	0.7045741463
15	0.6607601227
16	0.6217860065
17	0.5861677872
18	0.5555099563
19	0.5282217032
20	0.5021572081
21	0.4752490424
22	0.4568628095
23	0.4345044508
24	0.4146224644
25	0.3955358573
26	0.3780103966
27	0.3614046262
28	0.3468196654
29	0.3310006676
30	0.3172676958
31	0.3045227879
32	0.292472749
33	0.2822462379
34	0.272122873
35	0.2629748245
36	0.2538782142
37	0.2456210971
38	0.2370020191
39	0.2302197057
40	0.2227972971
41	0.2153417044
42	0.2087414256
43	0.2034705623
44	0.1984195447
45	0.1936420578
46	0.188111027
47	0.1830762847
48	0.1791545569
49	0.1739097182
50	0.1695468197
51	0.1661848543
52	0.1624587175
53	0.15782737
54	0.1540474072
55	0.1506387595
56	0.1471130418
57	0.1435523797
58	0.1401179398
59	0.1374765296
60	0.1348155619
61	0.1319855245
62	0.1290627106
63	0.1268140875
64	0.1244870091
65	0.1219662396
66	0.1194532467
67	0.1178606333
68	0.116110771
69	0.113679446
70	0.1114601056
71	0.1094627363
72	0.1074215589
73	0.1058229501
74	0.1043045087
75	0.1027375227
76	0.1010362552
77	0.09933770628
78	0.09748243163
79	0.09601685542
80	0.0945811623
81	0.09324163343
82	0.09210712662
83	0.09086031991
84	0.08923946995
85	0.08778946706
86	0.08667057529
87	0.08523265556
88	0.08407217803
89	0.08309925717
90	0.08199318401
91	0.08103507701
92	0.07977625145
93	0.0786690145
94	0.07754054958
95	0.07638701462
96	0.07555346739
97	0.07439067771
98	0.07314953571
99	0.07212373981
100	0.07130583433
101	0.07026729091
102	0.06936190392
103	0.06861920314
104	0.06790152635
105	0.06720518953
106	0.06595281755
107	0.06506069603
108	0.06430386306
109	0.06369565171
110	0.0629814609
111	0.06240156032
112	0.06188946915
113	0.06065298289
114	0.06016076727
115	0.0593084752
116	0.05877083014
117	0.05801938446
118	0.05705425475
119	0.05644628647
120	0.05593708063
121	0.05511697614
122	0.05420816644
123	0.0537993353
124	0.05341782145
125	0.05293212199
126	0.05233424833
127	0.05170989867
128	0.05121121412
129	0.05058973111
130	0.05004251591
131	0.04949244957
132	0.04917746934
133	0.04867972753
134	0.04820308901
